id;name;genre;type;episodes;rating;members;aired
4155;One Piece Film: Strong World;Action, Adventure, Comedy, Drama, Fantasy, Shounen;Movie;1;842.0;85020;12/12/2009
1889;Higurashi no Naku Koro ni Kai;Mystery, Psychological, Supernatural, Thriller;TV;24;841.0;218101;06/07/2007
137;Hunter x Hunter OVA;Action, Adventure, Shounen, Super Power;OVA;8;841.0;53168;17/01/2002
139;Hunter x Hunter: Greed Island Final;Action, Adventure, Shounen, Super Power;OVA;14;841.0;55787;03/03/2004
23317;Kuroshitsuji: Book of Murder;Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural;OVA;2;841.0;67261;28/01/2015
558;Major S2;Comedy, Drama, Shounen, Sports;TV;26;841.0;30689;10/12/2005
5040;One Outs;Psychological, Seinen, Sports;TV;25;841.0;83056;08/10/2008
57;Beck;Comedy, Drama, Music, Shounen, Slice of Life;TV;26;840.0;148328;07/10/2004
33;Berserk;Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural;TV;25;840.0;226430;08/10/1997
5;Cowboy Bebop: Tengoku no Tobira;Action, Drama, Mystery, Sci-Fi, Space;Movie;1;840.0;137636;01/09/2001
1842;Major S3;Drama, Shounen, Sports;TV;26;840.0;29528;06/01/2007
6336;Mobile Suit Gundam Unicorn;Action, Drama, Mecha, Military, Sci-Fi, Space;OVA;7;840.0;42076;12/03/2010
20651;Natsume Yuujinchou: Itsuka Yuki no Hi ni;Drama, Fantasy, Shoujo, Slice of Life, Supernatural;OVA;1;840.0;28302;01/02/2014
1210;NHK ni Youkoso!;Comedy, Drama, Psychological, Romance;TV;24;840.0;291228;10/07/2006
338;Rose of Versailles;Adventure, Drama, Historical, Romance, Shoujo;TV;40;840.0;32188;10/10/1979
13759;Sakurasou no Pet na Kanojo;Comedy, Drama, Romance, School, Slice of Life;TV;24;840.0;380375;09/10/2012
6547;Angel Beats!;Action, Comedy, Drama, School, Supernatural;TV;13;839.0;717796;03/04/2010
5081;Bakemonogatari;Mystery, Romance, Supernatural, Vampire;TV;15;839.0;482268;03/07/2009
32867;Bungou Stray Dogs 2nd Season;Mystery, Seinen, Supernatural;TV;12;839.0;83641;06/10/2016
264;Hajime no Ippo: Champion Road;Comedy, Shounen, Sports;Special;1;839.0;47840;18/04/2003
12859;One Piece Film: Z;Action, Adventure, Comedy, Drama, Fantasy, Shounen;Movie;1;839.0;76051;15/12/2012
5460;Detective Conan Movie 13: The Raven Chaser;Action, Mystery, Police, Shounen;Movie;1;838.0;21798;18/04/2009
6746;Durarara!!;Action, Mystery, Supernatural;TV;24;838.0;556431;08/01/2010
329;Planetes;Drama, Romance, Sci-Fi, Seinen, Space;TV;26;838.0;105044;04/10/2003
34240;Shelter;Music, Sci-Fi;Music;1;838.0;71136;18/10/2016
513;Tenkuu no Shiro Laputa;Adventure, Fantasy, Romance, Sci-Fi;Movie;1;838.0;151061;02/08/1986
6945;Gintama: Shiroyasha Koutan;Action, Comedy, Historical, Parody, Sci-Fi;Special;1;837.0;27213;21/09/2008
6811;InuYasha: Kanketsu-hen;Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural;TV;26;837.0;99128;04/10/2009
16664;Kaguya-hime no Monogatari;Fantasy, Historical;Movie;1;837.0;45547;23/11/2013
1604;Katekyo Hitman Reborn!;Action, Comedy, Shounen, Super Power;TV;203;837.0;258103;07/10/2006
22145;Kuroshitsuji: Book of Circus;Comedy, Demons, Fantasy, Historical, Shounen, Supernatural;TV;10;837.0;122895;11/07/2014
2966;Ookami to Koushinryou;Adventure, Fantasy, Historical, Romance;TV;13;837.0;334932;09/01/2008
31964;Boku no Hero Academia;Action, Comedy, School, Shounen, Super Power;TV;13;836.0;282002;03/04/2016
19363;Gin no Saji 2nd Season;Comedy, School, Shounen, Slice of Life;TV;11;836.0;67032;10/01/2014
18195;Little Busters!: Refrain;Comedy, Drama, Romance, School, Slice of Life, Supernatural;TV;13;836.0;71820;05/10/2013
9890;Major: Message;Comedy, Drama, Sports;OVA;1;836.0;12282;17/12/2010
9130;Saint Seiya: The Lost Canvas - Meiou Shinwa 2;Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural;OVA;13;836.0;27532;23/02/2011
9863;SKET Dance;Comedy, School, Shounen;TV;77;836.0;101027;07/04/2011
7674;Bakuman.;Comedy, Romance, Shounen;TV;25;835.0;246899;02/10/2010
11843;Danshi Koukousei no Nichijou;Comedy, School, Shounen, Slice of Life;TV;12;835.0;258914;10/01/2012
16782;Kotonoha no Niwa;Drama, Psychological, Romance, Slice of Life;Movie;1;835.0;189741;31/05/2013
28675;"Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen";Fantasy, Slice of Life, Supernatural;Movie;1;835.0;59815;25/04/2015
3226;Major S4;Comedy, Drama, Shounen, Sports;TV;26;835.0;28002;05/01/2008
21557;Omoide no Marnie;Drama, Mystery, Psychological;Movie;1;835.0;53590;19/07/2014
31715;Working!!!: Lord of the Takanashi;Comedy, Romance, Slice of Life;Special;1;834.0;31856;30/03/2016
43;Ghost in the Shell;Action, Mecha, Police, Psychological, Sci-Fi, Seinen;Movie;1;834.0;223036;18/11/1995
9617;K-On! Movie;Comedy, Music, Slice of Life;Movie;1;834.0;115252;03/12/2011
31051;Kuroko no Basket: Saikou no Present Desu;Action, School, Shounen, Sports;Special;1;834.0;22900;24/12/2015
10153;"Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s";Action, Comedy, Drama, Magic, Super Power;Movie;1;834.0;13315;14/07/2012
1033;Sennen Joyuu;Action, Adventure, Drama, Fantasy, Historical, Romance;Movie;1;834.0;58492;14/09/2002
32188;"Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero";Sci-Fi, Thriller;Special;1;834.0;38147;03/12/2015
3091;xxxHOLiC Kei;Comedy, Drama, Mystery, Psychological, Supernatural;TV;13;834.0;74941;04/04/2008
12115;Berserk: Ougon Jidai-hen III - Kourin;Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural;Movie;1;833.0;65594;01/02/2013
28223;Death Parade;Drama, Game, Mystery, Psychological, Thriller;TV;12;833.0;383914;10/01/2015
121;Fullmetal Alchemist;Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen;TV;51;833.0;600384;04/10/2003
3002;Gyakkyou Burai Kaiji: Ultimate Survivor;Game, Psychological, Seinen, Thriller;TV;26;833.0;98996;03/10/2007
138;Hunter x Hunter: Greed Island;Action, Adventure, Shounen, Super Power;OVA;8;833.0;57029;05/02/2003
6675;Redline;Action, Cars, Sci-Fi, Sports;Movie;1;833.0;109392;14/08/2009
32005;Detective Conan Movie 20: The Darkest Nightmare;Action, Mystery, Police, Shounen;Movie;1;832.0;6229;16/04/2016
813;Dragon Ball Z;Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power;TV;291;832.0;375662;26/04/1989
27821;Fate/stay night: Unlimited Blade Works - Prologue;Action, Fantasy, Magic, Shounen, Supernatural;Special;1;832.0;106382;05/10/2014
28725;Kokoro ga Sakebitagatterunda.;Drama, Romance, School;Movie;1;832.0;59652;19/09/2015
585;Mimi wo Sumaseba;Adventure, Drama, Fantasy, Romance, Slice of Life;Movie;1;832.0;94435;15/07/1995
16067;Nagi no Asukara;Drama, Fantasy, Romance;TV;26;832.0;224947;03/10/2013
30;Neon Genesis Evangelion;Action, Dementia, Drama, Mecha, Psychological, Sci-Fi;TV;26;832.0;461946;04/10/1995
31490;One Piece Film: Gold;Action, Adventure, Comedy, Drama, Fantasy, Shounen;Movie;1;832.0;18642;23/07/2016
759;Tokyo Godfathers;Comedy, Drama;Movie;1;832.0;89424;08/11/2003
6;Trigun;Action, Comedy, Sci-Fi;TV;26;832.0;283069;01/04/1998
6864;xxxHOLiC Rou;Mystery, Supernatural;OVA;2;832.0;36353;23/04/2010
9735;Gintama: Shinyaku Benizakura-hen;Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen;Special;1;831.0;14002;15/12/2010
11977;Mahou Shoujo Madoka?Magica Movie 1: Hajimari no Monogatari;Drama, Magic, Psychological, Thriller;Movie;1;831.0;88164;06/10/2012
11123;Sekaiichi Hatsukoi 2;Comedy, Drama, Romance, Shounen Ai;TV;12;831.0;69253;08/10/2011
23847;Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku;Comedy, Drama, Romance, School;TV;13;831.0;222994;03/04/2015
33161;Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA;Comedy, Romance, School;OVA;1;831.0;35120;27/10/2016
962;Aria The Natural;Fantasy, Sci-Fi, Shounen, Slice of Life;TV;26;830.0;39596;03/04/2006
1519;Black Lagoon: The Second Barrage;Action, Seinen;TV;12;830.0;203233;03/10/2006
2167;Clannad;Comedy, Drama, Romance, School, Slice of Life, Supernatural;TV;23;830.0;566690;05/10/2007
5681;Summer Wars;Comedy, Sci-Fi;Movie;1;830.0;223359;01/08/2009
3901;Baccano! Specials;Action, Comedy, Historical, Mystery, Seinen, Supernatural;Special;3;829.0;100412;27/02/2008
6467;Detective Conan Movie 14: The Lost Ship in the Sky;Action, Mystery, Police, Shounen;Movie;1;829.0;20602;17/04/2010
10271;Gyakkyou Burai Kaiji: Hakairoku-hen;Game, Psychological, Seinen, Thriller;TV;26;829.0;55566;06/04/2011
22507;Initial D Final Stage;Cars, Seinen, Sports;TV;4;829.0;19702;16/05/2014
3701;Kaiba;Adventure, Mystery, Romance, Sci-Fi;TV;12;829.0;56927;11/04/2008
19123;One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari;Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power;Special;1;829.0;17247;24/08/2013
33255;Saiki Kusuo no ?-nan (TV);Comedy, School, Shounen, Supernatural;TV;120;829.0;47092;04/07/2016
372;Cardcaptor Sakura Movie 2: Fuuin Sareta Card;Comedy, Drama, Fantasy, Magic, Romance, Shoujo;Movie;1;828.0;60637;15/07/2000
265;Hajime no Ippo: Mashiba vs. Kimura;Comedy, Shounen, Sports;OVA;1;828.0;40623;05/09/2003
25681;Kamisama Hajimemashita?;Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural;TV;12;828.0;91796;06/01/2015
4722;Skip Beat!;Comedy, Drama, Romance, Shoujo;TV;25;828.0;134818;06/10/2008
24277;Yowamushi Pedal: Grande Road;Comedy, Drama, Shounen, Sports;TV;24;828.0;50778;07/10/2014
239;Gankutsuou;Drama, Mystery, Sci-Fi, Supernatural, Thriller;TV;24;827.0;103828;06/10/2004
512;Majo no Takkyuubin;Adventure, Comedy, Drama, Fantasy, Magic, Romance;Movie;1;827.0;152331;29/07/1989
15323;One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna;Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power;Special;1;827.0;24707;25/08/2012
31174;Osomatsu-san;Comedy, Parody;TV;25;827.0;60988;06/10/2015
23327;Space?Dandy 2nd Season;Comedy, Sci-Fi, Space;TV;13;827.0;60918;06/07/2014
5365;Tsumiki no Ie;Drama;Movie;1;827.0;45189;10/06/2008
3702;Detroit Metal City;Comedy, Music;OVA;12;826.0;104893;08/08/2008
3167;Eve no Jikan;Sci-Fi, Slice of Life;ONA;6;826.0;99074;01/08/2008
7465;Eve no Jikan (Movie);Sci-Fi, Slice of Life;Movie;1;826.0;66376;06/03/2010
7054;Kaichou wa Maid-sama!;Comedy, Romance, School, Shoujo;TV;26;826.0;391628;02/04/2010
1257;Saint Seiya: Meiou Hades Juuni Kyuu-hen;Adventure, Sci-Fi, Shounen;OVA;13;826.0;23701;09/11/2002
23283;Zankyou no Terror;Psychological, Thriller;TV;11;826.0;342893;11/07/2014
2025;Darker than Black: Kuro no Keiyakusha;Action, Mystery, Sci-Fi, Super Power;TV;25;825.0;440334;06/04/2007
